6 6 1  | 4	| 0.830000	Solution (brute): 1 	 | 20	| 0.830000	Solution (old): 1 	
7 6 1  | 5	| 0.770000	Solution (brute): 1 	 | 23	| 0.770000	Solution (old): 1 	
7 6 1  | 4	| 0.880000	Solution (brute): 1 	 | 20	| 0.880000	Solution (old): 1 	
7 6 1  | 4	| 0.970000	Solution (brute): 1 	 | 20	| 0.970000	Solution (old): 1 	
7 6 1  | 5	| 0.720000	Solution (brute): 1 	 | 21	| 0.720000	Solution (old): 1 	
7 6 1  | 18	| 0.980000	Solution (brute): 1 	 | 29	| 0.980000	Solution (old): 1 	
8 6 1  | 7	| 0.640000	Solution (brute): 1 	 | 30	| 0.640000	Solution (old): 1 	
8 6 1  | 5	| 0.970000	Solution (brute): 1 	 | 20	| 0.970000	Solution (old): 1 	
8 6 1  | 5	| 0.940000	Solution (brute): 1 	 | 19	| 0.940000	Solution (old): 1 	
8 6 1  | 4	| 0.840000	Solution (brute): 1 	 | 20	| 0.840000	Solution (old): 1 	
8 6 1  | 5	| 0.740000	Solution (brute): 1 	 | 25	| 0.740000	Solution (old): 1 	
9 6 1  | 7	| 0.950000	Solution (brute): 1 	 | 24	| 0.950000	Solution (old): 1 	
9 6 1  | 6	| 0.750000	Solution (brute): 1 	 | 27	| 0.750000	Solution (old): 1 	
9 6 1  | 7	| 0.800000	Solution (brute): 1 	 | 26	| 0.800000	Solution (old): 1 	
9 6 1  | 6	| 0.640000	Solution (brute): 1 	 | 27	| 0.640000	Solution (old): 1 	
9 6 1  | 6	| 0.840000	Solution (brute): 1 	 | 25	| 0.840000	Solution (old): 1 	
1 7 1  | 3	| 0.910000	Solution (brute): 1 	 | 24	| 0.910000	Solution (old): 1 	
1 7 1  | 3	| 0.980000	Solution (brute): 1 	 | 17	| 0.980000	Solution (old): 1 	
1 7 1  | 3	| 0.760000	Solution (brute): 1 	 | 18	| 0.760000	Solution (old): 1 	
1 7 1  | 2	| 0.860000	Solution (brute): 1 	 | 17	| 0.860000	Solution (old): 1 	
