6 5 1  | 5	| 0.970000	Solution (brute): 1 	 | 23	| 0.970000	Solution (vec): 1 	
6 5 1  | 5	| 0.900000	Solution (brute): 1 	 | 23	| 0.900000	Solution (vec): 1 	
7 5 1  | 4	| 0.960000	Solution (brute): 1 	 | 24	| 0.960000	Solution (vec): 1 	
7 5 1  | 4	| 0.920000	Solution (brute): 1 	 | 22	| 0.920000	Solution (vec): 1 	
7 5 1  | 5	| 0.660000	Solution (brute): 1 	 | 23	| 0.660000	Solution (vec): 1 	
7 5 1  | 4	| 0.830000	Solution (brute): 1 	 | 58	| 0.830000	Solution (vec): 1 	
7 5 1  | 5	| 0.920000	Solution (brute): 1 	 | 23	| 0.920000	Solution (vec): 1 	
8 5 1  | 4	| 0.980000	Solution (brute): 1 	 | 23	| 0.980000	Solution (vec): 1 	
8 5 1  | 4	| 0.790000	Solution (brute): 1 	 | 21	| 0.790000	Solution (vec): 1 	
8 5 1  | 4	| 0.830000	Solution (brute): 1 	 | 22	| 0.830000	Solution (vec): 1 	
8 5 1  | 6	| 0.520000	Solution (brute): 1 	 | 31	| 0.520000	Solution (vec): 1 	
8 5 1  | 6	| 0.880000	Solution (brute): 1 	 | 46	| 0.880000	Solution (vec): 1 	
9 5 1  | 5	| 0.710000	Solution (brute): 1 	 | 25	| 0.710000	Solution (vec): 1 	
9 5 1  | 4	| 0.910000	Solution (brute): 1 	 | 23	| 0.910000	Solution (vec): 1 	
9 5 1  | 6	| 0.980000	Solution (brute): 1 	 | 29	| 0.980000	Solution (vec): 1 	
9 5 1  | 6	| 0.710000	Solution (brute): 1 	 | 27	| 0.710000	Solution (vec): 1 	
9 5 1  | 5	| 0.980000	Solution (brute): 1 	 | 27	| 0.980000	Solution (vec): 1 	
1 6 1  | 3	| 0.770000	Solution (brute): 1 	 | 29	| 0.770000	Solution (vec): 1 	
1 6 1  | 3	| 0.970000	Solution (brute): 1 	 | 26	| 0.970000	Solution (vec): 1 	
1 6 1  | 3	| 0.980000	Solution (brute): 1 	 | 26	| 0.980000	Solution (vec): 1 	
1 6 1  | 3	| 0.900000	Solution (brute): 1 	 | 25	| 0.900000	Solution (vec): 1 	
1 6 1  | 4	| 0.920000	Solution (brute): 1 	 | 25	| 0.920000	Solution (vec): 1 	
2 6 1  | 4	| 0.810000	Solution (brute): 1 	 | 29	| 0.810000	Solution (vec): 1 	
2 6 1  | 3	| 0.800000	Solution (brute): 1 	 | 26	| 0.800000	Solution (vec): 1 	
2 6 1  | 5	| 0.980000	Solution (brute): 1 	 | 32	| 0.980000	Solution (vec): 1 	
2 6 1  | 4	| 0.790000	Solution (brute): 1 	 | 28	| 0.790000	Solution (vec): 1 	
2 6 1  | 5	| 0.960000	Solution (brute): 1 	 | 27	| 0.960000	Solution (vec): 1 	
3 6 1  | 5	| 0.980000	Solution (brute): 1 	 | 30	| 0.980000	Solution (vec): 1 	
3 6 1  | 3	| 0.460000	Solution (brute): 1 	 | 22	| 0.460000	Solution (vec): 1 	
3 6 1  | 4	| 0.720000	Solution (brute): 1 	 | 22	| 0.720000	Solution (vec): 1 	
3 6 1  | 4	| 0.970000	Solution (brute): 1 	 | 21	| 0.970000	Solution (vec): 1 	
3 6 1  | 4	| 0.840000	Solution (brute): 1 	 | 28	| 0.840000	Solution (vec): 1 	
4 6 1  | 4	| 0.920000	Solution (brute): 1 	 | 22	| 0.920000	Solution (vec): 1 	
4 6 1  | 3	| 0.750000	Solution (brute): 1 	 | 22	| 0.750000	Solution (vec): 1 	
4 6 1  | 3	| 0.980000	Solution (brute): 1 	 | 22	| 0.980000	Solution (vec): 1 	
4 6 1  | 4	| 0.440000	Solution (brute): 1 	 | 21	| 0.440000	Solution (vec): 1 	
4 6 1  | 4	| 0.950000	Solution (brute): 1 	 | 21	| 0.950000	Solution (vec): 1 	
5 6 1  | 4	| 0.960000	Solution (brute): 1 	 | 23	| 0.960000	Solution (vec): 1 	
5 6 1  | 5	| 0.980000	Solution (brute): 1 	 | 21	| 0.980000	Solution (vec): 1 	
5 6 1  | 5	| 0.970000	Solution (brute): 1 	 | 22	| 0.970000	Solution (vec): 1 	
5 6 1  | 4	| 0.730000	Solution (brute): 1 	 | 22	| 0.730000	Solution (vec): 1 	
5 6 1  | 4	| 0.840000	Solution (brute): 1 	 | 27	| 0.840000	Solution (vec): 1 	
6 6 1  | 4	| 0.990000	Solution (brute): 1 	 | 22	| 0.990000	Solution (vec): 1 	
6 6 1  | 6	| 0.880000	Solution (brute): 1 	 | 30	| 0.880000	Solution (vec): 1 	
6 6 1  | 6	| 0.890000	Solution (brute): 1 	 | 25	| 0.890000	Solution (vec): 1 	
6 6 1  | 6	| 0.990000	Solution (brute): 1 	 | 29	| 0.990000	Solution (vec): 1 	
6 6 1  | 5	| 0.980000	Solution (brute): 1 	 | 28	| 0.980000	Solution (vec): 1 	
7 6 1  | 5	| 0.950000	Solution (brute): 1 	 | 29	| 0.950000	Solution (vec): 1 	
7 6 1  | 6	| 0.720000	Solution (brute): 1 	 | 27	| 0.720000	Solution (vec): 1 	
7 6 1  | 6	| 0.540000	Solution (brute): 1 	 | 27	| 0.540000	Solution (vec): 1 	
7 6 1  | 6	| 0.810000	Solution (brute): 1 	 | 29	| 0.810000	Solution (vec): 1 	
7 6 1  | 6	| 0.470000	Solution (brute): 1 	 | 27	| 0.470000	Solution (vec): 1 	
8 6 1  | 7	| 0.970000	Solution (brute): 1 	 | 28	| 0.970000	Solution (vec): 1 	
8 6 1  | 5	| 0.930000	Solution (brute): 1 	 | 20	| 0.930000	Solution (vec): 1 	
8 6 1  | 4	| 0.830000	Solution (brute): 1 	 | 21	| 0.830000	Solution (vec): 1 	
8 6 1  | 4	| 0.990000	Solution (brute): 1 	 | 19	| 0.990000	Solution (vec): 1 	
8 6 1  | 3	| 0.980000	Solution (brute): 1 	 | 19	| 0.980000	Solution (vec): 1 	
9 6 1  | 4	| 0.600000	Solution (brute): 1 	 | 20	| 0.600000	Solution (vec): 1 	
9 6 1  | 4	| 0.930000	Solution (brute): 1 	 | 20	| 0.930000	Solution (vec): 1 	
9 6 1  | 5	| 0.970000	Solution (brute): 1 	 | 19	| 0.970000	Solution (vec): 1 	
9 6 1  | 5	| 0.570000	Solution (brute): 1 	 | 21	| 0.570000	Solution (vec): 1 	
